date,totals
2014-12-01,32564
2014-12-01,64574
2014-12-01,13177
2014-12-01,8917
2014-12-01,12590
2014-12-01,12247
2014-12-01,8712
2014-12-01,15881
2014-12-01,34849
2014-12-01,56571
2014-12-01,6795
2014-12-01,71731
2014-12-01,45311
2014-12-01,28411
2014-12-01,95384
2014-12-01,1988
2014-12-01,34846
2014-12-01,9645
2014-12-01,72934
2014-12-01,180658
2014-12-01,26111
2014-12-01,3152
2014-12-01,49939
2014-12-01,49826
2014-12-01,26935
2014-12-01,31622
2014-12-01,7031
2015-01-01,51119
2015-01-01,5348
2015-01-01,24620
2015-01-01,18184
2015-01-01,113292
2015-01-01,33007
2015-01-01,24791
2015-01-01,4133
2015-01-01,61
2015-01-01,87895
2015-01-01,43248
2015-01-01,1188
2015-01-01,9858
2015-01-01,96712
2015-01-01,67533
2015-01-01,12562
2015-01-01,15166
2015-01-01,320778
2015-01-01,24516
2015-01-01,5423
2015-01-01,9311
2015-01-01,13112
2015-01-01,33596
2015-01-01,37824
2015-01-01,17119
2015-01-01,47271
2015-01-01,8234
2015-01-01,6241
2015-01-01,9482
2015-01-01,9834
2015-01-01,7144
2015-01-01,10614
2015-01-01,26506
2015-01-01,43199
2015-01-01,5512
2015-01-01,47676
2015-01-01,28606
2015-01-01,19429
2015-01-01,73321
2015-01-01,1722
2015-01-01,23923
2015-01-01,6709
2015-01-01,57536
2015-01-01,115315
2015-01-01,19394
2015-01-01,2373
2015-01-01,36685
2015-01-01,38018
2015-01-01,17624
2015-01-01,24587
2015-01-01,4413
2015-02-01,62220
2015-02-01,6731
2015-02-01,30563
2015-02-01,24042
2015-02-01,113789
2015-02-01,37520
2015-02-01,24291
2015-02-01,4137
2015-02-01,53
2015-02-01,103809
2015-02-01,57432
2015-02-01,1193
2015-02-01,12820
2015-02-01,86317
2015-02-01,84043
2015-02-01,16457
2015-02-01,18262
2015-02-01,198493
2015-02-01,33759
2015-02-01,6166
2015-02-01,9092
2015-02-01,11039
2015-02-01,38502
2015-02-01,40699
2015-02-01,23970
2015-02-01,55680
2015-02-01,11027
2015-02-01,6715
2015-02-01,11626
2015-02-01,9085
2015-02-01,7229
2015-02-01,13832
2015-02-01,25920
2015-02-01,48473
2015-02-01,5512
2015-02-01,59899
2015-02-01,34307
2015-02-01,24213
2015-02-01,81379
2015-02-01,1777
2015-02-01,31543
2015-02-01,9065
2015-02-01,53761
2015-02-01,140229
2015-02-01,20627
2015-02-01,3220
2015-02-01,40786
2015-02-01,43129
2015-02-01,24248
2015-02-01,32541
2015-02-01,5539
2015-03-01,57152
2015-03-01,7223
2015-03-01,28402
2015-03-01,20397
2015-03-01,199833
2015-03-01,37740
2015-03-01,30302
2015-03-01,4610
2015-03-01,68
2015-03-01,93683
2015-03-01,48200
2015-03-01,1344
2015-03-01,12234
2015-03-01,96770
2015-03-01,83305
2015-03-01,14948
2015-03-01,16337
2015-03-01,281518
2015-03-01,26788
2015-03-01,7438
2015-03-01,10656
2015-03-01,16296
2015-03-01,43233
2015-03-01,51987
2015-03-01,18635
2015-03-01,52566
2015-03-01,10863
2015-03-01,6796
2015-03-01,11192
2015-03-01,11780
2015-03-01,8529
2015-03-01,13587
2015-03-01,29889
2015-03-01,45196
2015-03-01,6517
2015-03-01,62389
2015-03-01,29926
2015-03-01,23895
2015-03-01,92329
2015-03-01,1953
2015-03-01,26546
2015-03-01,8923
2015-03-01,40064
2015-03-01,129368
2015-03-01,23422
2015-03-01,3115
2015-03-01,39427
2015-03-01,43542
2015-03-01,25804
2015-03-01,37433
2015-03-01,5459
2015-04-01,46971
2015-04-01,7030
2015-04-01,24762
2015-04-01,17135
2015-04-01,114686
2015-04-01,34688
2015-04-01,26677
2015-04-01,3665
2015-04-01,51
2015-04-01,81456
2015-04-01,35901
2015-04-01,1329
2015-04-01,10686
2015-04-01,118541
2015-04-01,67791
2015-04-01,11113
2015-04-01,14044
2015-04-01,253890
2015-04-01,21000
2015-04-01,6608
2015-04-01,10464
2015-04-01,14211
2015-04-01,36840
2015-04-01,44682
2015-04-01,14292
2015-04-01,42187
2015-04-01,9473
2015-04-01,5325
2015-04-01,9830
2015-04-01,10849
2015-04-01,7594
2015-04-01,11299
2015-04-01,26818
2015-04-01,37520
2015-04-01,5225
2015-04-01,59965
2015-04-01,26152
2015-04-01,20563
2015-04-01,74820
2015-04-01,1710
2015-04-01,22801
